Review Text,Label
"This sweater is so beautiful on. it is thick material, but does not make you look boxy. it fits so nicely and is flattering. the design is just gorgeous. if you are considering this sweater-- get it, you won't regret it!

i'm normally a small (4-6) and i ordered a small. it fits true to size. the fit is *perfect* so if you want it slightly more relaxed, order one size up.",Positive
"This piece is almost what i want... i tried on the white version in an xs and it felt a little too large for me, even though it's meant to be a looser fit. the buttercup yellow behind the lace is very pretty - i especially love that part of this tank. it provides a nice contrast and allows the detail to stand out. the navy is also nice (it was on display next to the white and looks better in person than online). what i didn't like was the texture of the spandex on the back portion. it looks like",Positive
Really like this blouse but am returning for a larger size. much too tight in the upper arms and somewhat tight in the chest - overall i like it.,Positive
"These are the perfect light weight relaxing summer pants!
the fabric is soft and light, and has some stretch, so i think they can be worn more fitted way, too. 
i don't want to show off my bottom half of my body shape, so these are perfect ones to be a bit loose to covers the silhouette but still looks feminine & not too loose. 
i''m 5'3, 115 lb and usually wear 25-26 jeans, 25 petite gave me the perfect relaxed look without losing the feminine look. i think 24 could fit as well, but would sn",Positive
These look nothing like the picture! they are super high-waisted & longer than they look in this picture. i felt as if i was wearing a pair of jeans from the 90's that just fit terribly. i thought they were going to be a pair of cropped wide legs & they are far from it. the color was also much lighter than shown in picture. super unflattering & just not for me. they're going back...,Negative
"I ordered this shirt and was happy to see that it looks just like it does online -- i love the rusty orange and pale blue contrast with the navy. the navy blue underlayer is so flattering, and the sheer sleeves are feminine and lovely. the shape and pattern are forgiving. this brand is really hitting it out of the park these days. this blouse runs a bit smaller than some meadow rue. if you're between sizes (especially arm-wise), i'd order up. otherwise just get your regular size. the body is flo",Positive
"On the hanger, this looks like a great lbd. on me, not quite. the bell shape of this dress made it appear that i was carrying extra weight in the middle.  for reference, i tried a 0p, and i'm 5,1"", 102#, and 34a.",Positive
Love this cardigan! i've been searching for a comfortable lounge type of sweater and this is perfect. the sleeves are a bit tighter than the body. but i would wear it over a tank top so it is comfortable. i am 125 lb and 5'5' and i ordered my usual m.,Positive
"I was immediately drawn to the ochre yellow color of this dress and it's stitch and pleat details and was happy to score it early enough in the season still in my size and preferred color option. unlike other reviewers, i was not turned off by the ribbing at the neck and arm lines. i received the dress yesterday, am wearing it today, and have already received compliments from even the most sour-faced co-workers who can't give a compliment or share casual conversation in the hallway. the sunny ye",Positive
"I loved this jacket! it's exactly what i was looking for. i set out to find a lightweight sweater or jacket that would keep me warm and also versatile enough to wear with different outfits. this definitely fit the bill! in addition, it's really soft and not at all itchy, which was a concern i had since it was wool and i ordered it online. i have received a bunch of compliments! i definitely recommend it!",Positive
"Several months ago i bought the byron lars pieced brocade dress (size 10) it's a little large through the torso area but with the belt it fits good enough. since i have loved this dress so much i wanted another byron lars dress so i bought the carissima sheath and the sunrose dress both in a 10. they both were way too big so i ordered a size 8 and they both just barely fit ??? oh was i disappointed....so one more try, i ordered this dress the allusione sheath size 10, and yepeee it fits perfect",Positive
The stitched pattern on this shirt is so pretty! it fits loosely and looks good with a slimmer bottom. it is a little bit itchy but i didn't feel i needed to wear something underneath.,Positive
"This is a pretty blouse that is also very comfortable. i am always an xl in retailer tops, but i needed to go down to a large on this one. this blouse is cut generously everywhere, but going down one size was perfect for me. the fabric in the back falls from the shoulder blade area, so it has a very nice drape in the back. the sleeve cuffs and placket are some sort of cotton, so the cuff made a nice base to fold the sleeve around and up to the elbow. i wore a nude bra underneath, and i can't see m",Positive
"Love this, but it is not a true white. it's slightly ivory, winter white. please be accurate with color descriptions! it's extremely frustrating when online retailers don't describe colors accurately. it can be hard to see subtle color differences in photos (especially with the color white) due to lighting of the shot. we rely on descriptions when ordering online. it's not difficult to do, really it's not.

that said, i didn't have any armhole trouble as others did. they were sized just right,",Positive
"I love the style and quality of this skirt. the material is a bit heavier than anticipated, so it works well in cooler months, and the thickness makes it easy to wear a shirt underneath. it fits true to size - my usual 6 is form-fitting without being overly snug or pulled.

i am on the taller side, and the skirt is fairly long - it comes to the bottom of my knee.",Positive
"1. i'm 5'5"" tall, 143 lbs, and 38-32-40 and my normal size 10s fit me perfectly.",Positive
I really liked this top when i saw it online. i went to the store to check the sizes. i am a small or a medium. i tried on the s and the xs. even the xs was huge. unfortunately the xxs is sold out. i don't understand the sizing on this at all. it's a shame because the top itself is very pretty. just be sure you try it on before purchasing.,Neutral
I returned the dress because the color was not as pictured in the online photo. i did not like the color.,Negative
This skirt is amazing! it has the right amount of sparkle and the right amount of shape. i bought this in a size six which i can really switch between 6 and 8 depending but the six fits perfectly. i also bought the regular length even though i could probably be considered petite but it ended up being perfect. but the skirt is so lovely in person and has just enough wow that you can wear this thing with a simple tee and still look amazing. i wore this to a party with a black high neck tank and re,Positive
"I did like the dress, but don't love it. i think it would have been better for me if it were snugger. the xxs petite was still loose and i found that there are so many dresses with the similar fit, i decided to pass... i also do like both colors, the brown is a better choice for me on my skin tone (warmer), but both are nice. i am 115 lbs, 30dd, 26.5 in waist.",Positive
Super comfortable and on trend with the embroidery and beading - wore it day after i received to the airport over tee shirt & jeans and got compliments left and right - love it!!,Positive
These run small. i normally wear 28 on ag stevie's and paige jeans so i ordered these in 28 and they were very tight. otherwise very well made and super cute but i had to return them.,Neutral
"I love these pants! super comfy - fit well and a great color. i knew immediately when i put them on that i would love them. and the button fly? to die for. 
wore them and they did stretch out a bit by the end of the day but they didn't look awful and super baggy. i bought the other color in a size smaller so they might be better. a great pant for summer!",Positive
"I really wanted this skirt to work but it didn't look very flattering on me. a great midi length and very cool pattern, so hopefully will work for others!",Neutral
